Achirus scutum					X		X						X										X																																																					X					X													X		X																							X							X																																						X														X										X																																																																															X			X			Eastern Central Pacific:  Gulf of California to Ecuador.
Aesopia cornuta	X		X			X				X				X	X		X							X	X	X												X								X																									X																																																								X		X	X								X								X																	X								X					X															X																									X												X		X																																		X	X				X			X	Indo-West Pacific:  Red Sea, Mozambique, South Africa, India and Japan.  Reported from Indonesia and northwestern Australia (Ref. 5978).
Ammotretis brevipinnis						X				X																																				X																																																																																																																																																																																																																										X									Eastern Indian Ocean:  southwestern Australia.
Ammotretis elongatus						X				X																																				X																																																																																																																																																																																																																										X									Eastern Indian Ocean:  southern Australia, from southern Western Australia to South Australia and Tasmania.
Ammotretis lituratus						X				X																																				X																																																																																																																																																																																																																										X									Eastern Indian Ocean:  Australia (South Australia, Victoria and Tasmania).
Ammotretis macrolepis						X				X																																				X																																																																																																																																																																																																																										X									Eastern Indian Ocean:  east coast of Flinders Island, Bass Strait, to the eastern reaches of the Great Australian Bight (Australia).
Ammotretis rostratus						X				X																																				X																																																																																																																																																																																																																										X							X		Eastern Indian Ocean:  southern Australia, from southwestern Australia to New South Wales.
Ancylopsetta antillarum					X						X																																					X																																																																																																																																																																																																																						X											Western Central Atlantic:  Bahamas.
Ancylopsetta cycloidea					X		X				X												X																					X																																X										X																			X																	X																																																																																																						X											X														X												X	X											Western Central Atlantic:  northern coast of South America.
Ancylopsetta dendritica					X		X						X										X																																																					X					X													X		X																							X							X																																						X														X										X		X																																																																													X			X			Eastern Pacific:  Gulf of California to Peru (04°56.5'S, 81°22.8'W).
Ancylopsetta dilecta					X		X				X		X							X			X																																																																																																																																													X																																																												X											X												X												X			X											Western Atlantic:  North Carolina to Florida and northern Gulf of Mexico in USA to Yucatan in Mexico; reported to extend to Suriname (Ref. 13608).
Ancylopsetta kumperae					X		X				X												X																					X																																X										X																			X																	X																																																																																																						X											X														X												X	X											Western Central Atlantic:  northern coast of South America.
Ancylopsetta microctenus					X								X																																																																																																																	X																																																																																																																																								X											Western Central Atlantic:  Caribbean Sea.
Ancylopsetta quadrocellata					X						X		X							X																																																																	X																																																																															X																																																																																			X												X			X											Western Atlantic:  North Carolina to Florida in USA and the entire Gulf of Mexico.
Apionichthys dumerili							X																X																																																																																																																																																																																																																																		X													X											Western Atlantic:  estuarine areas of the Orinoco (Venezuela), Corantijn (Suriname), Oyapock, Amazon and Grajaú (Brazil) rivers, and from marine areas under influence of these rivers.  Enters low land freshwaters - there are records from Jari River (Brazil) and Corantijn River (Suriname).
Arnoglossus andrewsi						X				X																																				X																																																																																																																																																																																																																										X									Eastern Indian Ocean:  Tasmania, Australia.
Arnoglossus arabicus			X																												X																																																																																																																																																										X																					X																																																X											X								Western Indian Ocean:  Gulf of Aden to southern Oman.
Arnoglossus armstrongi						X				X																																				X																																																																																																																																																																																																																										X									Eastern Indian Ocean:  Tasmania, Australia.
