Citharichthys fragilis					X								X							X																																																																																																																																																X																																																																																			X																				X						Eastern Pacific:  Manhattan Beach in southern California, USA to Gulf of California.
Citharichthys gilberti					X		X						X										X																																																					X					X													X		X																							X							X																																						X														X										X		X																																																																													X			X			Eastern Pacific:  Gulf of California to Peru.
Citharichthys gnathus							X																X																																																																																					X																																																																																																																																																																		X			Southeast Pacific:  known only from the Galapagos Islands.
Citharichthys gordae					X								X																																																																																																																																																							X																																																																																																							X						Eastern Central Pacific:  Mexico.  Probably taken from Panama and Colombia, but needs confirmation.
Citharichthys gymnorhinus					X		X				X		X							X			X																									X														X																							X																																					X																																																								X																		X																																							X												X												X			X											Western Atlantic:  Canada (Ref. 5951) to Bahamas and Florida Keys in USA to Guyana and Nicaragua.
Citharichthys macrops					X		X				X		X							X			X																									X					X																							X									X																																									X											X																											X																																																																																			X												X			X											Western Atlantic:  southern Chesapeake Bay south along the U.S., Bahamas, throughout the Gulf of Mexico except northwestern Cuba; in the Caribbean from southern Jamaica, and along Central and South America from Mexico to the Honduran Bay Islands, and Colombia to Brazil (Santa Catarina).
Citharichthys mariajorisae					X								X							X																																																																																																																																																X																								X																																																											X																				X						Eastern Pacific:  Gulf of California to the Bay of Panama.
Citharichthys minutus							X																X																																																																																																																																																																																																																																		X													X											Western Central Atlantic:  Venezuela.
Citharichthys platophrys					X		X						X										X																																																					X					X													X		X																							X							X																																						X														X										X		X																																																																													X			X			Eastern Pacific:  Mexico to Peru.
Citharichthys sordidus				X	X								X			X				X														X																												X																																																																																																						X																																					X																																														X																				X	X	X				Eastern Pacific:  Bering Sea coast of Alaska to Cabo San Lucas, southern Baja California, Mexico.  Occurrence in Nicaragua (Ref. 13613) needs validation.
Citharichthys spilopterus					X		X				X		X							X			X																					X									X				X																			X					X					X						X													X																	X															X																											X														X																		X																												X											X												X		X										X		X	X											Western Atlantic:  New Jersey, USA to the Antilles and Brazil.
Citharichthys stampflii	X											X																		X									X																									X															X			X																									X		X											X	X																																									X																																													X			X																																															X			X													Eastern Atlantic:  Senegal to Angola (Ref. 5979, 81290, 81683). Also reported from Mauritania (Ref. 55783).
Citharichthys stigmaeus					X		X						X							X			X											X																												X																																X																																																																						X																																																																																			X																				X	X		X			Eastern Pacific:  Montague Island, Alaska to Bahia Magdalena, southern Baja California, Mexico.
Citharichthys surinamensis							X																X																																																																																																																																																																																																									X																																						X											Western Central Atlantic:  Suriname.
Citharichthys valdezi							X																X																																																																																																																																																																																																																																		X													X											Western Central Atlantic:  northern South America.
Citharichthys xanthostigma					X								X							X																																																													X															X																							X							X																																						X														X																																																																					X																				X						Eastern Pacific:  Monterey Bay in California, USA to Costa Rica.
Citharoides macrolepidotus			X												X									X																																															X																																																																			X							X	X																																													X																																					X																																									X			X	Western Pacific:  Philippines, Japan (Sagami Bay and Kasumi) and the Korean Peninsula.
Citharoides macrolepis	X													X											X																																																																																																																				X																														X																																													X													X																																				X								Western Indian Ocean:  known only Kenya to Natal, South Africa.
Citharoides orbitalis						X				X																																				X																																																																																																																																																																																																																										X									Eastern Indian Ocean:  Australia.
Citharus linguatula	X		X	X								X							X									X		X	X					X			X																									X																															X												X													X	X															X																							X			X																																																X		X					X										X											X																			X	X		X						X							Eastern Atlantic:  off northwestern Africa south to 23°S; also in the Mediterranean.
Cleisthenes herzensteini			X	X											X	X																																																							X																																																																			X							X	X																																																							X	X																																																																			X				Northwest Pacific:  Sea of Okhotsk, Sea of Japan, Yellow Sea, Gulf of Bo Hai, and East China Sea.
Cleisthenes pinetorum			X												X																																																																																																																											X								X																																																																																		X																																									X				Northwest Pacific: Japan (Ref. 58462), South Korea (Ref. 77001) and Taiwan (Ref. 4315).
Clidoderma asperrimum			X	X	X										X	X				X																																										X									X																																																																			X							X		X																																																						X																																														X																				X	X	X				North Pacific:  China (Ref. 559, 33837), Japan, and Kuril Islands to Canada and California, USA.
Colistium guentheri						X				X																																																																																																																																																																							X																																																																																														X		Southwest Pacific:  New Zealand.
Colistium nudipinnis						X				X																																																																																																																																																																							X																																																																																														X		Southwest Pacific:  occurs only around New Zealand.
Crossorhombus azureus			X			X				X					X									X		X																				X																									X																																																								X			X																																																																																								X										X																						X														X					X			X	Indo-West Pacific:  Bay of Bengal, northwestern Australia, South China Sea, China, Taiwan, Japan, Viet Nam, and Aru Islands, Indonesia.
Crossorhombus howensis			X			X				X					X																															X																																																																																																																																																																																						X																																									X		X		Northwest Pacific:  Taiwan. Southwest Pacific:  Lord Howe Island.  Possibly occurring in the Western Central Pacific.
Crossorhombus kanekonis			X												X																																																																																																																											X																																																																																										X																																									X				Northwest Pacific:  southern Japan (Ref. 559) and Taiwan (Ref. 5193).
Crossorhombus kobensis			X												X																																																								X																																																																			X								X																																																																																		X																																									X				Northwest Pacific:  Japan, Formosa Strait, northern part of the South China Sea.  Possibly occurring in the Western Central Pacific.
Crossorhombus valderostratus	X		X			X				X				X	X									X	X	X																				X																									X																																																								X		X									X																																	X																				X																								X	X		X																																														X	X				X		X	X	Indo-West Pacific.
Cyclopsetta chittendeni					X		X				X		X							X			X																					X									X				X																			X					X				X	X																			X														X			X				X																																						X														X										X																																				X											X												X		X												X	X											Western Atlantic:  northwestern Gulf of Mexico to Brazil.
Cyclopsetta fimbriata					X		X				X									X			X																					X													X					X					X									X									X	X						X													X																	X	X														X																																																											X																												X											X				X								X		X										X		X	X											Western Atlantic:  Canada (Ref. 5951) to North Carolina, USA (Ref. 7251) to São Paulo, Brazil (Ref. 36453).
Cyclopsetta panamensis					X		X						X										X																																																					X					X													X		X																							X							X																																						X														X										X		X																																																																													X			X			Eastern Pacific:  Gulf of California to Peru.
Cyclopsetta querna					X		X						X										X																																																					X					X													X		X																							X							X																																						X														X										X		X																																																																													X			X			Eastern Pacific:  Gulf of California to Peru.
Cynoglossus abbreviatus			X												X									X																																															X																																																								X			X								X								X																																													X																																					X																																				X					X			X	Indo-West Pacific:  South China Sea (Amoy, Canton, Kowloon, Hong Kong and Shanton) through Taiwan, Shanghai, Tunghai and Pohai to Korea and Japan.  Known from Shizuoka Prefecture to the South China Sea (Ref. 559).  Also found in Indonesia (Ref. 5978).
Cynoglossus acaudatus	X													X											X																																								X																																																																												X																														X																																						X						X	X													X																																				X								Western Indian Ocean:  Somalia to Natal, South Africa, including Seychelles.
Cynoglossus acutirostris	X													X																																																																																																																																																																																																									X																																																		X								Western Indian Ocean:  Red Sea (Ref. 9942) and the Gulf of Aden.  <i>Cynoglossus acutirostris</i> is very similar to <i>Cynoglossus carpenteri</i>.
Cynoglossus arel			X			X									X							X		X		X					X							X											X	X																					X																																																								X		X	X	X	X						X										X									X																							X					X	X					X						X									X												X										X		X															X					X														X	X		X		X			X	Indo-West Pacific:  Persian Gulf to Sri Lanka and Indonesia, north to southern Japan.  Reported occurrence of this species from Niue (Ref. 3804) should be verified.
Cynoglossus attenuatus	X													X											X																																																																																																																																																		X																																													X																																																	X								Western Indian Ocean:  known only from Delagoa Bay, Mozambique to Durban, South Africa.
Cynoglossus bilineatus	X		X			X				X					X				X					X		X					X															X			X											X											X																								X																																X		X	X	X				X			X										X									X															X													X	X			X		X						X									X					X							X										X		X															X					X														X	X				X			X	Indo-West Pacific:  Persian Gulf (Ref. 11441), off Pakistan, the west coast of India and Sri Lanka, Indonesia, the Philippines, Japan, and the north and east coasts of Australia.
Cynoglossus broadhursti						X				X																																				X																																																																																																																																																																																																																										X							X		Eastern Indian Ocean:  Western and southern Australia.
Cynoglossus browni	X											X																		X									X															X							X																	X				X															X												X			X								X	X																														X																												X																												X			X																						X																									X			X													Eastern Atlantic:  Senegal to Angola (Ref. 5512).
Cynoglossus cadenati	X											X																		X									X																																											X																											X			X								X	X																														X																																																								X			X																																															X			X													Eastern Atlantic:  Senegal to Angola.
Cynoglossus canariensis	X											X																		X									X															X							X		X															X	X			X															X										X		X			X								X	X																														X											X																	X																												X			X																						X																									X			X													Eastern Central Atlantic:  Mauritania and the Canary Islands to Angola (9°20'S).
Cynoglossus capensis	X																								X																																																																																																																																																				X																																											X																																												X					X								Southeast Atlantic:  Kunene River, Namibia to Natal, South Africa.
Cynoglossus carpenteri			X																							X					X																		X																																																																																X																			X																																					X												X									X																																							X									X											X								Indian Ocean:  seas of India to Persian Gulf.  <i>Cynoglossus carpenteri</i> is closely related to <i>Cynoglossus acutirostris</i>.
Cynoglossus crepida			X																												X																																																																																																								X																																																																																																																																		X								Eastern Indian Ocean:  Red Sea. Israel (Gulf of Aqaba).
Cynoglossus cynoglossus			X																					X		X												X												X										X																																																																					X	X																											X															X														X					X																																							X																																		X	X							X	Indo-West Pacific:  Malay Archipelago to Philippines, and westward to Myanmar, Bangladesh, and India (West Bengal) to Pakistan (Ref. 9895).
Cynoglossus dispar			X																							X																																																																																																							X																																																									X																																																																														X	X								Western Indian Ocean:  Pakistan to Madras, India.
Cynoglossus dollfusi	X																		X																																																																												X																																																																																																																																																																										X								Western Indian Ocean:  known only from the Suez Canal.
Cynoglossus dubius			X																							X																																																																																																							X																																																									X																																																																															X								Western Indian Ocean:  west coast of India.
Cynoglossus durbanensis	X													X											X																																																																																																																				X														X																X																																													X													X																																				X								Western Indian Ocean:  Kenya to Natal, South Africa.  Also Zanzibar and Madagascar (Ref. 6806).
Cynoglossus gilchristi	X													X											X																																																																																																																																		X																X																																													X																																																	X								Western Indian Ocean:  Delagoa Bay, Mozambique and Natal, South Africa; including Madagascar.
Cynoglossus gracilis			X												X									X																																															X																																																								X																			X																																																																																		X																																									X				Northwest Pacific:  South China Sea through Taiwan, Tung-hai, and Chefoo to Pusan in Korea.
Cynoglossus interruptus			X												X									X																																															X																																																								X											X								X																																																																																		X																																									X				Northwest Pacific:  Hokkaido, Japan to the South China Sea.  Questionable from the Western Central Pacific.
Cynoglossus itinus			X												X									X																																															X																																																								X			X								X																																																																																										X																																				X					X				Northwest Pacific:  Japan to the South China Sea.
Cynoglossus joyneri			X												X									X																																															X																																																								X											X								X																																																								X																										X																						X																			X			X	Northwest Pacific:  Korea and southern Japan to the Yellow Sea and South China Sea.
Cynoglossus kopsii	X		X			X				X				X	X									X		X					X							X								X			X																X						X																																																								X		X	X	X																	X							X		X	X																											X	X			X		X						X									X			X									X										X		X															X					X														X	X				X			X	Indo-West Pacific:  Persian Gulf to Taiwan.
Cynoglossus lachneri	X		X											X												X					X																																														X																																																																X														X								X								X														X	X												X											X						X														X																									X											X								Western Indian Ocean:  Red Sea, Gulf of Oman, and East Africa from Kenya to Delagoa Bay, Mozambique; including Seychelles, Mauritius, Madagascar and the Comoro Islands.
Cynoglossus lida	X		X			X				X				X	X									X	X	X												X																																																																																									X		X	X																									X		X														X	X																	X		X																									X												X		X																																		X	X				X			X	Indo-West Pacific:  East Africa, Pakistan and India to the Malay Archipelago and the Philippines.
Cynoglossus lighti			X												X																																																								X																																																																																																																																																																																																						X				Northwest Pacific:  China.
Cynoglossus lineolatus			X												X																																																								X																																																																																																																																																																																																						X				Northwest Pacific:  China.
Cynoglossus lingua			X																					X		X												X												X																																																																															X	X																											X															X														X					X																											X												X																				X														X	X				X			X	Indo-West Pacific:  Malay Archipelago including Thailand, Viet Nam, the Philippines and Indonesia westward to seas and estuaries of India and Pakistan to the Red Sea (Ref. 9895).
Cynoglossus maccullochi						X				X																																				X																																																																																																																																																																																																																																		X	Western Central Pacific.
Cynoglossus macrolepidotus			X												X									X																																															X																																																								X			X																																																																																																				X																																		X					X			X	Western Pacific:  China and Java, Indonesia (Ref. 40966).
Cynoglossus macrophthalmus						X				X																																				X																																																																																																																																																																																																																										X								X	Indo-West Pacific:  northwestern Australia.
Cynoglossus macrostomus			X																							X																																																																																																							X																																																																																																																																							X	X								Indian Ocean:  restricted to the coast of India.
Cynoglossus maculipinnis						X				X																																				X																																																																																																																																															X																																																																											X								X	Western Pacific:  northern Australia, from Western Australia to Queensland (Ref. 5297) and Papua New Guinea (Ref. 6771).
Cynoglossus marleyi	X													X											X																																																																																																																																																		X																																													X																																																	X								Western Indian Ocean:  Delagoa Bay, Mozambique to Durban, South Africa.
Cynoglossus melampetalus			X												X									X																																																																																																							X																																																																																																					X																																									X				Asia:  China.
Cynoglossus monodi	X											X																		X																								X							X																	X																			X										X		X			X								X	X																														X											X																	X																												X			X																						X																									X																Eastern Central Atlantic:  Mauritania (Ref. 5377) to Pointe-Noire, Congo.
Cynoglossus monopus			X																					X		X																																																																																																					X		X	X																																																													X																											X												X																																		X	X				X			X	Indo-West Pacific:  India, Sri Lanka, Indonesia, Thailand, and the Philippines.
Cynoglossus nanhaiensis			X												X									X																																															X																																																																																																																																																																																			X																			X				Western Pacific: China and Vietnam.
Cynoglossus nigropinnatus			X												X																																																								X																																																																			X																																																																																																																																			X				Northwest Pacific:  Kumanonada Sea to Tosa Bay, the East China Sea, and the Gulf of Tonkin.
Cynoglossus ochiaii			X												X																																																																																																																											X																																																																																																																																			X				Northwest Pacific:  Japan.
Cynoglossus ogilbyi						X				X																																				X																																																																																																																																															X																																																																																			X	Western Central Pacific:  southern Queensland, Australia (Ref. 5297) and Papua New Guinea (Ref. 6771).
Cynoglossus oligolepis			X												X									X																																															X																																																											X																																																																																																				X																																							X			X	Western Pacific:  China Main (Ref. 33837) and Indonesia (Ref. 33021).
Cynoglossus pottii	X																		X																																																																												X																																																																																																																																																																										X								Western Indian Ocean:  Red Sea.
Cynoglossus puncticeps			X			X				X					X									X		X					X															X			X	X										X											X																																																								X		X	X																		X									X															X													X	X			X		X						X									X					X							X										X		X	X														X					X														X	X				X			X	Indo-West Pacific:  India eastward to the Malay Archipelago and the South China Sea, southward to the Philippines and northwest Australia; eastward to New Guinea (Ref. 9895).  A related species, <i>Cynoglossus gilchristi</i> Regan, 1920 is recorded from Madagascar, the holotype (BMNH n°1903.9.29:2) being from Natal, off Umlanga River (Ref. 6806).
Cynoglossus purpureomaculatus			X												X									X																																															X																																																																			X																																																																																																																X																			X				Northwest Pacific.
Cynoglossus quadriocellatus						X				X																																				X																																																																																																																																																																																																																										X									Eastern Indian Ocean: Western Australia.
Cynoglossus robustus			X												X									X																																															X																																																								X											X								X																																																																																		X																						X																			X				Western Pacific:  southern Japan and South China Sea.
Cynoglossus roulei			X												X																																																								X																																																																																																																																																													X																																									X				Northwest Pacific:  China.
Cynoglossus semifasciatus			X																							X																																																																																																							X																																																																																									X																																														X	X								Indian Ocean:  East of India and  Sri Lanka (Ceylon).
Cynoglossus semilaevis			X												X									X																																															X																																																								X																			X																																																																																																																											X				Asia:  China.  Occurs in the Yellow Sea and the East China Sea (Ref. 559).
Cynoglossus senegalensis	X											X																		X									X															X							X																	X	X			X															X										X		X			X								X	X																														X											X																	X																										X		X			X																						X																									X			X													Eastern Atlantic:  Mauritania to Angola (Ref. 81291, 81682).
Cynoglossus sibogae			X												X									X																																															X																																																																																						X																																		X																																					X		X																																		X					X			X	Western Pacific:  Malay Archipelago.
Cynoglossus sinicus			X												X																																																																																																																																																																																																																					X																																									X				Asia:  Asia.
Cynoglossus sinusarabici	X		X																X												X																																																																X																																								X																																																																							X																					X											X																											X	X							Western Indian Ocean and Mediterranean Sea:  Red Sea, Suez Canal, and Israel.
Cynoglossus suyeni			X												X									X																																																																																																										X																																																													X																																					X																																									X			X	Western Pacific:  Philippines, through Celebes, to the Timor Sea.  Also reported from Taiwan (Ref. 5193).
Cynoglossus trigrammus			X												X									X																																																																																																																																																																																																												X		X																																							X			X	Asia:  China and Viet Nam.
Cynoglossus trulla			X												X									X																																				X											X																																																								X			X																											X																																																																									X																				X																			X			X	Western Central Pacific:  Indonesia, Malaysia, Gulf of Thailand, and the South China Sea.
Cynoglossus westraliensis						X				X																																				X																																																																																																																																																																																																																										X									Eastern Indian Ocean: Western Australia.
Cynoglossus zanzibarensis	X													X											X																																																																																																																				X																														X		X																																										X	X													X																															X					X								Western Indian Ocean:  Kenya to the western Cape Province, South Africa.  Reported from Namibia (Ref. 27121).
Dagetichthys lusitanicus	X			X								X							X									X		X						X			X															X							X																	X				X															X										X		X			X								X	X																														X											X																	X																												X			X							X															X																									X	X		X						X							Eastern Atlantic:  Cape Blanc (Mauritania) to Angola (Ref. 6805). Also in Mediterranean (Ref. 4710).
Dexillus muelleri			X			X				X							X					X		X																						X																																																								X																												X																																																											X		X																																										X																															X			X					X	Indo-West Pacific:  Sri Lanka to Samoa and Tonga, north to the Philippines, south to northern Australia.
Dexistes rikuzenius			X												X																																																																																																																											X							X	X																																																																																																																											X				Northwest Pacific:  Japan and Korean Peninsula.
Dicologlossa cuneata	X		X	X								X							X						X			X		X	X					X			X																																							X																																										X	X																																									X								X			X																					X													X									X	X										X											X																			X	X		X						X							Eastern Atlantic:  Bay of Biscay and the Mediterranean to the Cape of Good Hope, South Africa.
Dicologlossa hexophthalma	X											X																		X																																		X																																											X													X	X																																			X						X																																																X																																															X																Eastern Atlantic:  Portugal, Madeira; west coast of Africa from Mauritania to Sierra Leone, also Gulf of Guinea, Congo and Angola (Ref. 5304); including the western Mediterranean (Ref. 3397).
Embassichthys bathybius			X	X	X								X		X	X				X														X																												X																																																																												X																										X																																					X																																														X																				X	X	X				North Pacific:  Japan to the Gulf of Alaska and to Mexican border.
Engyophrys sanctilaurentii					X		X						X							X			X																																																					X					X													X		X																							X							X																																						X														X										X		X																																																									X																				X			X			Eastern Central Pacific:  La Jolla, California to Peru.
Engyophrys senta					X		X				X									X			X																																		X					X																							X																																																																																																																																											X											X												X												X		X	X											Western Atlantic:  Canada (Ref. 5951) to southern Florida, USA and northern Gulf of Mexico to Brazil.
Engyprosopon annulatum						X											X																																																																																																																																																															X																																																																																																X	Western Pacific:  Timor Sea (type locality).
Engyprosopon arenicola						X	X															X	X																																															X																							X																															X																																																																																																																																															X			X			Eastern Pacific:  Hawaii (Ref. 33021) and Isla de Pascua [=Easter Island] (Ref. 33343).
Engyprosopon bellonaense						X											X																																																																																																																																																															X																																																																																																X	Western Central Pacific:  Chesterfield and Bellona Plateaus and the Fairway Ridge, west of New Caledonia.
Engyprosopon bleekeri						X				X																																				X																																																																																																																																																																																																																										X								X	Western Central Pacific:  east coast of Queensland, Australia.
Engyprosopon filipennis			X												X																																																								X																																																																																																																																																													X																																									X				Northwest Pacific.
Engyprosopon grandisquama	X		X			X				X				X	X		X							X	X	X					X							X								X														X											X																																																								X		X	X								X			X														X		X	X													X	X				X									X				X		X															X									X	X		X										X	X	X																				X														X	X				X			X	Indo-Pacific:  East Africa and throughout the Indian Ocean to the Indo-Australian Archipelago and New Caledonia, north to southern Japan.
Engyprosopon hawaiiense						X																X																																																																																																						X																																																																																																																																															X						Eastern Central Pacific:  Hawaii.
Engyprosopon hureaui			X			X											X									X					X																																																																																																								X																							X																		X																																																																																									X							X	Indo-West Pacific:  Red Sea and Maldives to the Coral Sea.
Engyprosopon kushimotoense			X												X																																																																																																																											X																																																																																																																																			X				Northwest Pacific:  Japan.
Engyprosopon latifrons	X		X											X	X									X		X																																							X						X																																																								X																															X																																	X																		X																																																								X				X			X	Indo-West Pacific:  widespread, from Cargados Carajos to the Philippines, north to Hong Kong (Ref. 31075) and China Main (Ref. 33837).
Engyprosopon longipelvis			X			X									X		X																																																						X																																																																			X																																						X																										X																																																																			X			X	Western Pacific:  Japan (Ref. 559), China (Ref. 33837, and the Chesterfield Islands (Ref. 11897).
Engyprosopon longipterum						X											X																																																																																																																																																															X																																																																																																X	Western Central Pacific:  Chesterfield and Bellona Plateaus and Fairway Ridge, Coral Sea.
Engyprosopon macrolepis	X		X			X				X				X			X		X					X		X					X																																		X												X																		X																																												X																			X																		X													X		X															X																																																X											X							X	Indo-West Pacific:  Red Sea to Maldives and Cargados Carajos; north to Taiwan, Philippines and the Coral Sea.
Engyprosopon maldivense			X			X				X					X		X							X		X																				X																																																																																												X																				X																		X															X																																					X																																				X	X				X			X	Indo-West Pacific:  Maldives, Philippines, Borneo, northern and northwestern Australia, Coral Sea, Taiwan, and southern Japan.
